input,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Ajuga reptans,32454,32451,32251,31632,18063,846496,202422,reptans,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Anthriscus sylvestris,29588,29585,500042,500017,18063,846496,202422,sylvestris,Anthriscus,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Bellis perennis,36826,36825,35420,35419,18063,846496,202422,perennis,Bellis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Brassica napus,23060,23054,22669,822943,18063,846496,202422,napus,Brassica,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Capsella bursa-pastoris,22766,22765,22669,822943,18063,846496,202422,bursa-pastoris,Capsella,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cerastium fontanum,19954,19943,19942,19520,18063,846496,202422,fontanum,Cerastium,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Chaerophyllum temulum,29618,29614,500042,500017,18063,846496,202422,temulum,Chaerophyllum,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cirsium arvense,36335,36334,35420,35419,18063,846496,202422,arvense,Cirsium,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cirsium vulgare,36428,36334,35420,35419,18063,846496,202422,vulgare,Cirsium,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Convolvulaceae,0,0,30648,500033,18063,846496,202422,,,Convolvulaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Family found
Cornus sanguinea,501636,27798,27796,27788,18063,846496,202422,sanguinea,Cornus,Cornaceae,Cornales,Magnoliopsida,Tracheophyta,Plantae,Species found
Crataegus monogyna,24586,24539,24538,24057,18063,846496,202422,monogyna,Crataegus,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Galium aparine,34797,34796,34784,29910,18063,846496,202422,aparine,Galium,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,Species found
Geranium robertianum,29119,29104,29103,29060,18063,846496,202422,robertianum,Geranium,Geraniaceae,Geraniales,Magnoliopsida,Tracheophyta,Plantae,Species found
Heracleum sphondylium,29671,29669,500042,500017,18063,846496,202422,sphondylium,Heracleum,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Lamiastrum galeobdolon,515591,32537,32251,31632,18063,846496,202422,galeobdolon,Lamium,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Lamium album,32538,32537,32251,31632,18063,846496,202422,album,Lamium,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Lapsana communis,37830,37828,35420,35419,18063,846496,202422,communis,Lapsana,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Leontodon autumnalis,37883,37882,35420,35419,18063,846496,202422,autumnalis,Leontodon,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Ligustrum vulgare,32980,32973,32927,31632,18063,846496,202422,vulgare,Ligustrum,Oleaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Matricaria recutita,780435,38073,35420,35419,18063,846496,202422,chamomilla,Matricaria,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Medicago sativa,183623,183622,500059,500022,18063,846496,202422,sativa,Medicago,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Mentha arvensis,565302,32264,32251,31632,18063,846496,202422,arvensis,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Myosotis arvensis,31692,31687,31633,846605,18063,846496,202422,arvensis,Myosotis,Boraginaceae,Boraginales,Magnoliopsida,Tracheophyta,Plantae,Species found
Papaver sp ,0,18881,18880,18409,18063,846496,202422,,Papaver,Papaveraceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Prunus spinosa,24802,24762,24538,24057,18063,846496,202422,spinosa,Prunus,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Ranunculus acris,18583,18558,18410,18409,18063,846496,202422,acris,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,Species found
Ranunculus repens,18642,18558,18410,18409,18063,846496,202422,repens,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,Species found
Rosa sp ,0,24807,24538,24057,18063,846496,202422,,Rosa,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Rubus fruticosus,837315,24848,24538,24057,18063,846496,202422,plicatus,Rubus,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Senecio jacobaea,780394,780104,35420,35419,18063,846496,202422,vulgaris,Jacobaea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Silene dioica,20064,20040,19942,19520,18063,846496,202422,dioica,Silene,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Sinapis arvensis,23310,23308,22669,822943,18063,846496,202422,arvensis,Sinapis,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Sonchus asper/oleraceus,0,38420,35420,35419,18063,846496,202422,,Sonchus,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Spergula arvensis,505306,20364,19942,19520,18063,846496,202422,arvensis,Spergula,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Stachys sylvatica,32322,32310,32251,31632,18063,846496,202422,sylvatica,Stachys,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Stellaria graminea,20181,20163,19942,19520,18063,846496,202422,graminea,Stellaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Torilis japonica,29895,29893,500042,500017,18063,846496,202422,japonica,Torilis,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Trifolium pratense/repens,0,26204,500059,500022,18063,846496,202422,,Trifolium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Veronica persica,33405,33396,32869,31632,18063,846496,202422,persica,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Viburnum lanatum,0,35249,35346,35247,18063,846496,202422,,Viburnum,Adoxaceae,Dipsacales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Vicia hirsute,0,26329,500059,500022,18063,846496,202422,,Vicia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Vicia sativa,26355,26329,500059,500022,18063,846496,202422,sativa,Vicia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Vicia sepium,26357,26329,500059,500022,18063,846496,202422,sepium,Vicia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Triticosecale,0,781315,40351,846620,18063,846496,202422,,Triticosecale,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Aphanes arvensis,184592,184591,24538,24057,18063,846496,202422,arvensis,Aphanes,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Avena sativa,41459,41455,40351,846620,18063,846496,202422,sativa,Avena,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Species found
Corylus avellana,501642,19505,19465,19273,18063,846496,202422,avellana,Corylus,Betulaceae,Fagales,Magnoliopsida,Tracheophyta,Plantae,Species found
Matricaria discoidea,501470,38073,35420,35419,18063,846496,202422,discoidea,Matricaria,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Plantago sp ,0,32870,32869,31632,18063,846496,202422,,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Poaceae,0,0,40351,846620,18063,846496,202422,,,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Family found
Rumex sp ,0,20933,20842,19520,18063,846496,202422,,Rumex,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Scrophularia auriculata,507163,34030,33005,31632,18063,846496,202422,auriculata,Scrophularia,Scrophulariaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Triticum aestivum,42237,42236,40351,846620,18063,846496,202422,aestivum,Triticum,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Species found
Urtica dioica,19152,19151,19119,24057,18063,846496,202422,dioica,Urtica,Urticaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Veronica arvensis,33411,33396,32869,31632,18063,846496,202422,arvensis,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Acer campestre,28739,28727,28657,28643,18063,846496,202422,campestre,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,Species found
Arctium minus,36546,36544,35420,35419,18063,846496,202422,minus,Arctium,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Glechoma hederacea,502801,500297,32251,31632,18063,846496,202422,hederacea,Glechoma,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Potentilla reptans,24743,24666,24538,24057,18063,846496,202422,reptans,Potentilla,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Quercus robur,19405,19276,19275,19273,18063,846496,202422,robur,Quercus,Fagaceae,Fagales,Magnoliopsida,Tracheophyta,Plantae,Species found
Trifolium dubium,26205,26204,500059,500022,18063,846496,202422,dubium,Trifolium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Allium ursinum,810202,42634,182703,897479,18063,846496,202422,ursinum,Allium,Amaryllidaceae,Asparagales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cardamine flexuosa,22795,22768,22669,822943,18063,846496,202422,flexuosa,Cardamine,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cardamine pratensis,22773,22768,22669,822943,18063,846496,202422,pratensis,Cardamine,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Chenopodium sp ,0,20589,20714,19520,18063,846496,202422,,Chenopodium,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Clematis vitalba,18717,18685,18410,18409,18063,846496,202422,vitalba,Clematis,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,Species found
Epilobium sp ,0,27280,27279,27072,18063,846496,202422,,Epilobium,Onagraceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Euphorbia helioscopia,28077,28032,28031,822428,18063,846496,202422,helioscopia,Euphorbia,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Fallopia convolvulus,513511,823760,20842,19520,18063,846496,202422,convolvulus,Fallopia,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Geranium dissectum,29135,29104,29103,29060,18063,846496,202422,dissectum,Geranium,Geraniaceae,Geraniales,Magnoliopsida,Tracheophyta,Plantae,Species found
Geum urbanum,24663,24644,24538,24057,18063,846496,202422,urbanum,Geum,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Asteraceae,0,0,35420,35419,18063,846496,202422,,,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Family found
Lamium purpureum,32543,32537,32251,31632,18063,846496,202422,purpureum,Lamium,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Mercurialis perennis,0,28353,28031,822428,18063,846496,202422,,Mercurialis,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Persicaria sp ,0,823756,20842,19520,18063,846496,202422,,Persicaria,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Picris echioides,780367,780097,35420,35419,18063,846496,202422,echioides,Helminthotheca,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Polygonum sp ,0,20847,20842,19520,18063,846496,202422,,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Prunella vulgaris,32381,32380,32251,31632,18063,846496,202422,vulgaris,Prunella,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Sambucus nigra,35324,35315,35346,35247,18063,846496,202422,nigra,Sambucus,Adoxaceae,Dipsacales,Magnoliopsida,Tracheophyta,Plantae,Species found
Senecio vulgaris,36194,36084,35420,35419,18063,846496,202422,vulgaris,Senecio,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Sonchus arvensis,38421,38420,35420,35419,18063,846496,202422,arvensis,Sonchus,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Stellaria media,20169,20163,19942,19520,18063,846496,202422,media,Stellaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Taraxacum officinale,36213,36199,35420,35419,18063,846496,202422,officinale,Taraxacum,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Veronica hederifolia,33418,33396,32869,31632,18063,846496,202422,hederifolia,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Viola arvensis,22037,22030,22023,822428,18063,846496,202422,arvensis,Viola,Violaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Acer pseudoplatanus,28756,28727,28657,28643,18063,846496,202422,pseudoplatanus,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,Species found
Fraxinus excelsior,502663,32928,32927,31632,18063,846496,202422,excelsior,Fraxinus,Oleaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Hyacinthoides non-scripta,810156,500337,810124,897479,18063,846496,202422,non-scripta,Hyacinthoides,Asparagaceae,Asparagales,Magnoliopsida,Tracheophyta,Plantae,Species found
Sherardia arvensis,35237,35236,34784,29910,18063,846496,202422,arvensis,Sherardia,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,Species found
Lotus corniculatus,26362,26361,500059,500022,18063,846496,202422,corniculatus,Lotus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Rhingia campestris,0,140640,139621,118831,99208,82696,202423,,Rhingia,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Agriotes pallidulus,0,113882,113879,109216,99208,82696,202423,,Agriotes,Elateridae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Anaspis maculata,0,772374,678380,109216,99208,82696,202423,,Anaspis,Scraptiidae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Anthocomus fasciatus,0,0,0,0,0,0,0,fasciatus,Anthocomus,Melyridae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Bicellaria vana,0,136495,136392,118831,99208,82696,202423,,Bicellaria,Hybotidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Botanophila striolata,149405,149260,148685,118831,99208,82696,202423,striolata,Botanophila,Anthomyiidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Bracon sp,0,153257,152867,152741,99208,82696,202423,,Bracon,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Cantharis lateralis,0,834303,113837,109216,99208,82696,202423,,Cantharis,Cantharidae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Chlorops hypostigma,0,148035,147644,118831,99208,82696,202423,,Chlorops,Chloropidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Chlorops pumilionis,0,148035,147644,118831,99208,82696,202423,,Chlorops,Chloropidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Dacnusa maculipes,0,152879,152867,152741,99208,82696,202423,,Dacnusa,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Delia sp,0,149696,148685,118831,99208,82696,202423,,Delia,Anthomyiidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Dicraeus tibialis,147720,147714,147644,118831,99208,82696,202423,tibialis,Dicraeus,Chloropidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Dolichopus ungulatus,138286,137953,136824,118831,99208,82696,202423,ungulatus,Dolichopus,Dolichopodidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Empis (Xanthempis) sp,0,135943,135830,118831,99208,82696,202423,,Empis,Empididae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Empis caudatula,0,135943,135830,118831,99208,82696,202423,,Empis,Empididae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Empis livida,0,135943,135830,118831,99208,82696,202423,,Empis,Empididae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Empis nigripes,0,135943,135830,118831,99208,82696,202423,,Empis,Empididae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Endasys sp,0,153569,153360,152741,99208,82696,202423,,Endasys,Ichneumonidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Episyrphus balteatus,0,0,0,0,0,0,0,balteatus,Episyrphus,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Fannia serena,151467,151329,151314,118831,99208,82696,202423,serena,Fannia,Fanniidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Fannia sp,0,151329,151314,118831,99208,82696,202423,,Fannia,Fanniidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Helina sp,0,150312,150025,118831,99208,82696,202423,,Helina,Muscidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Hylemya vagans,0,149224,148685,118831,99208,82696,202423,,Hylemya,Anthomyiidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Microphor anomalus,0,0,0,0,0,0,0,anomalus,Microphor,Dolichopodidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Miscogaster maculata,0,0,0,0,0,0,0,maculata,Miscogaster,Pteromalidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Oscinella cariciphila,0,147947,147644,118831,99208,82696,202423,,Oscinella,Chloropidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Phaenocarpa ruficeps,0,153174,152867,152741,99208,82696,202423,,Phaenocarpa,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Phaonia lasiophthalma,0,150480,150025,118831,99208,82696,202423,,Phaonia,Muscidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Phasia pusilla,0,650850,152643,118831,99208,82696,202423,,Phasia,Tachinidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Pimpla contemplator,0,0,0,0,0,0,0,contemplator,Pimpla,Ichneumonidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Platycheirus albimanus,0,139712,139621,118831,99208,82696,202423,,Platycheirus,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Platycheirus nielseni,139793,139712,139621,118831,99208,82696,202423,nielseni,Platycheirus,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Platypalpus sp,0,136617,136392,118831,99208,82696,202423,,Platypalpus,Hybotidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Psychodidae sp,0,0,125351,118831,99208,82696,202423,,,Psychodidae,Diptera,Insecta,Arthropoda,Animalia,Family found
Psyllidae sp,0,0,109187,103359,99208,82696,202423,,,Psyllidae,Hemiptera,Insecta,Arthropoda,Animalia,Family found
Pteromalidae,0,0,153974,152741,99208,82696,202423,,,Pteromalidae,Hymenoptera,Insecta,Arthropoda,Animalia,Family found
Scathophaga stercoraria,148662,148598,678096,118831,99208,82696,202423,stercoraria,Scathophaga,Scathophagidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Scatopsidae sp,0,0,125618,118831,99208,82696,202423,,,Scatopsidae,Diptera,Insecta,Arthropoda,Animalia,Family found
Tenthredopsis nassata,0,0,0,0,0,0,0,nassata,Tenthredopsis,Tenthredinidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Oscinella nitidissima,147953,147947,147644,118831,99208,82696,202423,nitidissima,Oscinella,Chloropidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Pegoplata aestiva or Adia cinerella,149033,149027,148685,118831,99208,82696,202423,aestiva,Pegoplata,Anthomyiidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Neoascia podagrica,0,141096,139621,118831,99208,82696,202423,,Neoascia,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Syritta pipiens,141419,141417,139621,118831,99208,82696,202423,pipiens,Syritta,Syrphidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Neomyia cornicina,150258,150257,150025,118831,99208,82696,202423,cornicina,Neomyia,Muscidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Eulophidae,0,0,153770,152741,99208,82696,202423,,,Eulophidae,Hymenoptera,Insecta,Arthropoda,Animalia,Family found
Torymus sp,0,153969,153968,152741,99208,82696,202423,,Torymus,Torymidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Anaspis pulicaria,0,772374,678380,109216,99208,82696,202423,,Anaspis,Scraptiidae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Anapausis soluta,0,125737,125618,118831,99208,82696,202423,,Anapausis,Scatopsidae,Diptera,Insecta,Arthropoda,Animalia,Genus found
Anthomyza gracilis,144411,144408,144407,118831,99208,82696,202423,gracilis,Anthomyza,Anthomyzidae,Diptera,Insecta,Arthropoda,Animalia,Species found
Apis mellifera,154396,154395,154394,152741,99208,82696,202423,mellifera,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animalia,Species found
